id,lat,lon
0,36.900000,-79.600000
1,36.900000,-79.372583
2,36.900000,-79.145166
3,36.900000,-78.917749
4,36.900000,-78.690332
5,36.900000,-78.462915
6,36.900000,-78.235498
7,36.900000,-78.008081
8,37.080180,-79.600000
9,37.080180,-79.372583
10,37.080180,-79.145166
11,37.080180,-78.917749
12,37.080180,-78.690332
13,37.080180,-78.462915
14,37.080180,-78.235498
15,37.080180,-78.008081
16,37.260360,-79.600000
17,37.260360,-79.372583
18,37.260360,-79.145166
19,37.260360,-78.917749
20,37.260360,-78.690332
21,37.260360,-78.462915
22,37.260360,-78.235498
23,37.260360,-78.008081
24,37.440541,-79.600000
25,37.440541,-79.372583
26,37.440541,-79.145166
27,37.440541,-78.917749
28,37.440541,-78.690332
29,37.440541,-78.462915
30,37.440541,-78.235498
31,37.440541,-78.008081
32,37.620721,-79.600000
33,37.620721,-79.372583
34,37.620721,-79.145166
35,37.620721,-78.917749
36,37.620721,-78.690332
37,37.620721,-78.462915
38,37.620721,-78.235498
39,37.620721,-78.008081
40,37.800901,-79.600000
41,37.800901,-79.372583
42,37.800901,-79.145166
43,37.800901,-78.917749
44,37.800901,-78.690332
45,37.800901,-78.462915
46,37.800901,-78.235498
47,37.800901,-78.008081
48,37.981081,-79.600000
49,37.981081,-79.372583
50,37.981081,-79.145166
51,37.981081,-78.917749
52,37.981081,-78.690332
53,37.981081,-78.462915
54,37.981081,-78.235498
55,37.981081,-78.008081
56,38.161261,-79.600000
57,38.161261,-79.372583
58,38.161261,-79.145166
59,38.161261,-78.917749
60,38.161261,-78.690332
61,38.161261,-78.462915
62,38.161261,-78.235498
63,38.161261,-78.008081
